segment_id	content_pack_id	resource_id	source_path	source_key	source_order	scene_id	route_id	story_state_id	speaker_id	text_type	source_text	target_text	protected_tokens	context_before	context_after	developer_comment	char_limit	byte_limit	line_limit	batch_id	status	source_hash	target_revision	decision_ids	uncertainty_ids	notes
SEG-BASE-94ECDF633C455B4AA922	BASE	RES-2E00ACC886FEB4BD	data/game_data.gd	literal/000049	1					ui		폭사	[]							BATCH-PROD-CORE-DATA	INTEGRATED	7ec288d3b103254db5f30c408fd3218ae740322421798caa01a09bc16e36dbf0	1			
SEG-BASE-D052D5A393CA4728A9F5	BASE	RES-2E00ACC886FEB4BD	data/game_data.gd	literal/000051	2					ui		참살	[]							BATCH-PROD-CORE-DATA	INTEGRATED	6d765be4c535ae759a5f3fe57f41f5a016f8f3d6658b520c80fa99685a517623	1			
SEG-BASE-1019379C56FCC8CCC20D	BASE	RES-2E00ACC886FEB4BD	data/game_data.gd	literal/000053	3					ui		구타로 인한 사망	[]							BATCH-PROD-CORE-DATA	INTEGRATED	266303b79cb0f0eae5f3ef7c15a08203481ce71faca1326b35ba02f6c8a452b9	1			
SEG-BASE-BA844F2B954E1C338998	BASE	RES-2E00ACC886FEB4BD	data/game_data.gd	literal/000055	4					ui		자상으로 인한 사망	[]							BATCH-PROD-CORE-DATA	INTEGRATED	b0152d77d4e11aaa775477051194b88f39ad58dd29055c5d9d1acddbdefe78cd	1			
SEG-BASE-204CBBCB34DCEB16270D	BASE	RES-2E00ACC886FEB4BD	data/game_data.gd	literal/000057	5					ui		중독사	[]							BATCH-PROD-CORE-DATA	INTEGRATED	bf495e1996a20e5d2918bfca56b895b3650e39c9660d8eca9c66fb727098061a	1			
SEG-BASE-F206C0FF484BC6763A8A	BASE	RES-2E00ACC886FEB4BD	data/game_data.gd	literal/000059	6					ui		사살	[]							BATCH-PROD-CORE-DATA	INTEGRATED	47855eb597101a1d88545e7ad01a250ef5ecfd2f9b0e0e15d6a792831729551f	1			
SEG-BASE-2284A1266B4F0F1DB075	BASE	RES-2E00ACC886FEB4BD	data/game_data.gd	literal/000061	7					ui		과실사	[]							BATCH-PROD-CORE-DATA	INTEGRATED	99c7af96fa347ba73809575ae11366c43ffb11469bd009ef76ee1be6cad0a2c9	1			
SEG-BASE-7D789137E5C23EECC2F3	BASE	RES-2E00ACC886FEB4BD	data/game_data.gd	literal/000063	8					ui		추락사	[]							BATCH-PROD-CORE-DATA	INTEGRATED	baafc7d2aa97b694fe4b0d8f35533fb789aad602e5ab3b7348d73675dd41019c	1			
SEG-BASE-A83FE0765F2B4FA06DBB	BASE	RES-2E00ACC886FEB4BD	data/game_data.gd	literal/000065	9					ui		교살	[]							BATCH-PROD-CORE-DATA	INTEGRATED	303f3bfa8711236af80878c7be168a398c6ffa5387cbd76fe54a3d2023714e2b	1			
SEG-BASE-3954E2788AC95BCE8549	BASE	RES-2E00ACC886FEB4BD	data/game_data.gd	literal/000067	10					ui		없음	[]							BATCH-PROD-CORE-DATA	INTEGRATED	868310e193d1af0b9a0a16b18d5826a5490fe3f9410defa30dc115829fc1db4a	1			
